# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 27
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Mar 30 15:11:37 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.104
# Player 2: Player-1, '260469756', running on localhost
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, 'random', running on 192.168.1.104
START Player-0 random
START Player-1 260469756
START Player-2 random
START Player-3 random
2 (4,14) (5,14)
3 (10,13) (12,15)
3 (12,15) (12,13)
3 (12,13) (14,13)
3 (14,13) (12,13)
3 (12,13) (14,15)
3 (14,15) (12,13)
3 (12,13) (14,15)
3 (14,15) (12,13)
3 (12,13) (14,15)
3 null null
0 (1,3) (1,1)
0 null null
1 (0,14) (1,15)
2 (7,15) (8,14)
3 (15,11) (14,12)
0 (4,2) (3,3)
1 (1,15) (0,14)
2 (1,10) (2,9)
3 (11,14) (12,15)
0 (5,2) (3,0)
0 null null
1 (0,14) (1,15)
2 (5,14) (6,14)
3 (12,14) (11,13)
0 (1,2) (1,3)
1 (1,15) (0,14)
2 (1,12) (1,13)
3 (13,13) (12,12)
0 (3,0) (5,2)
0 (5,2) (3,0)
0 (3,0) (1,2)
0 (1,2) (1,4)
0 null null
1 (0,14) (1,15)
2 (6,14) (7,13)
3 (13,14) (13,13)
0 (4,6) (4,7)
1 (1,15) (0,14)
2 (4,12) (4,11)
3 (12,11) (11,11)
0 (3,4) (3,5)
1 (0,14) (1,15)
2 (2,15) (1,14)
3 (13,12) (13,14)
3 null null
0 (3,6) (2,7)
1 (1,15) (0,14)
2 (1,13) (1,12)
3 (14,12) (15,11)
0 (4,7) (4,6)
1 (0,14) (1,15)
2 (3,12) (3,11)
3 (11,13) (12,13)
0 (4,1) (4,2)
1 (1,15) (0,14)
2 (4,15) (3,15)
3 (12,13) (11,13)
0 (3,3) (4,3)
1 (0,14) (1,15)
2 (1,14) (2,14)
3 (15,11) (15,9)
3 null null
0 (1,3) (0,2)
1 (1,15) (0,14)
2 (2,14) (1,14)
3 (11,13) (11,14)
0 (1,0) (0,0)
1 (0,14) (1,15)
2 (2,9) (3,10)
3 (12,12) (13,11)
0 (2,7) (3,7)
1 (1,15) (0,14)
2 (1,14) (2,13)
3 (15,13) (14,12)
0 (4,2) (5,1)
1 (0,14) (1,15)
2 (3,10) (5,12)
2 (5,12) (3,14)
2 null null
3 (15,12) (14,11)
0 (5,1) (6,2)
1 (1,15) (0,14)
2 (2,13) (1,14)
3 (10,12) (9,11)
0 (3,7) (3,6)
1 (0,14) (1,15)
2 (5,11) (5,12)
3 (15,15) (14,14)
0 (2,1) (3,1)
1 (1,15) (0,14)
2 (0,13) (2,15)
2 (2,15) (0,13)
2 (0,13) (2,15)
2 (2,15) (0,13)
2 (0,13) (2,15)
2 null null
3 (13,14) (12,14)
0 (1,4) (1,5)
1 (0,14) (1,15)
2 (3,14) (4,15)
3 (11,11) (12,11)
0 (0,0) (0,1)
1 (1,15) (0,14)
2 (5,12) (4,12)
3 (13,13) (12,13)
0 (6,2) (7,2)
1 (0,14) (1,15)
2 (8,14) (9,14)
3 (14,12) (15,11)
0 (2,0) (2,1)
1 (1,15) (0,14)
2 (9,14) (9,15)
3 (9,11) (9,12)
0 (4,3) (3,4)
1 (0,14) (1,15)
2 (4,11) (3,10)
3 (14,14) (13,15)
0 (7,2) (6,1)
1 (1,15) (0,14)
2 (0,15) (1,15)
3 (13,11) (12,12)
0 (3,4) (4,4)
1 (0,14) (0,15)
2 (1,14) (1,13)
3 (14,11) (13,10)
0 (3,5) (5,7)
0 null null
1 (0,15) (0,14)
2 (7,13) (8,12)
3 (12,15) (10,13)
3 null null
0 (2,3) (1,2)
1 (0,14) (0,15)
2 (3,15) (2,14)
3 (9,12) (8,11)
0 (1,1) (1,3)
0 null null
1 (0,15) (0,14)
2 (9,15) (8,14)
3 (8,11) (9,10)
0 (3,6) (4,7)
1 (0,14) (0,15)
2 (2,14) (3,13)
3 (12,11) (14,9)
3 null null
0 (1,3) (1,4)
1 (0,15) (0,14)
2 (1,13) (0,13)
3 (11,14) (10,15)
0 (5,7) (5,8)
1 (0,14) (0,15)
2 (4,12) (5,11)
3 (13,10) (15,8)
3 (15,8) (13,10)
3 null null
0 (3,1) (3,2)
1 (0,15) (0,14)
2 (5,11) (6,12)
3 (15,11) (14,10)
0 (2,1) (3,0)
1 (0,14) (0,15)
2 (4,15) (3,15)
3 (12,12) (11,12)
0 (1,4) (2,5)
1 (0,15) (0,14)
2 (1,12) (1,11)
3 (10,13) (9,13)
0 (4,4) (3,3)
1 (0,14) (0,15)
2 (4,13) (3,12)
3 (15,10) (15,11)
0 (4,7) (5,7)
1 (0,15) (0,14)
2 (3,12) (3,14)
2 (3,14) (3,12)
2 (3,12) (1,10)
2 (1,10) (1,12)
2 null null
3 (12,14) (12,15)
0 (1,2) (1,3)
1 (0,14) (0,15)
2 (3,10) (4,11)
3 (11,12) (11,11)
0 (4,6) (3,6)
1 (0,15) (0,14)
2 (1,12) (1,10)
2 (1,10) (1,12)
2 null null
3 (14,9) (14,8)
0 (3,3) (2,4)
1 (0,14) (0,15)
2 (3,13) (3,14)
3 (14,8) (15,7)
0 (5,8) (4,8)
1 (0,15) (0,14)
2 (0,13) (0,15)
2 null null
3 (15,11) (13,9)
3 (13,9) (13,11)
3 (13,11) (13,9)
3 (13,9) (13,11)
3 (13,11) (13,9)
3 (13,9) (13,11)
3 null null
0 (4,8) (4,7)
1 (0,14) (1,14)
2 (1,11) (2,10)
3 (15,9) (14,8)
