# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 5
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Mar 30 11:33:46 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.104
# Player 2: Player-1, 'random', running on 192.168.1.104
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, '260469756', running on localhost
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 260469756
0 (0,1) (2,3)
0 (2,3) (0,1)
0 null null
1 (13,0) (11,2)
1 (11,2) (13,0)
1 null null
2 (1,12) (0,11)
3 (14,14) (12,12)
3 null null
0 (2,0) (4,0)
0 (4,0) (2,0)
0 (2,0) (4,2)
0 null null
1 (15,2) (13,4)
1 null null
2 (0,12) (0,10)
2 (0,10) (0,12)
2 null null
3 (13,13) (11,11)
3 null null
0 (1,1) (3,3)
0 (3,3) (1,1)
0 (1,1) (3,3)
0 null null
1 (13,0) (15,2)
1 (15,2) (15,4)
1 null null
2 (2,13) (1,12)
3 (11,11) (10,10)
0 (2,2) (4,4)
0 (4,4) (2,2)
0 null null
1 (12,1) (11,0)
2 (3,14) (4,14)
3 (10,10) (9,9)
0 (3,3) (5,1)
0 (5,1) (3,3)
0 (3,3) (5,1)
0 null null
1 (13,4) (13,3)
2 (2,15) (3,14)
3 (9,9) (8,8)
0 (1,2) (2,3)
1 (11,0) (10,0)
2 (1,14) (2,15)
3 (8,8) (7,7)
0 (5,1) (6,0)
1 (12,0) (11,1)
2 (3,15) (3,13)
2 null null
3 (7,7) (6,6)
0 (0,1) (1,2)
1 (15,4) (14,5)
2 (2,14) (4,12)
2 (4,12) (2,14)
2 null null
3 (6,6) (5,5)
0 (0,3) (0,4)
1 (15,3) (15,2)
2 (3,13) (5,15)
2 null null
3 (5,5) (4,4)
0 (2,3) (3,4)
1 (13,2) (12,3)
2 (2,15) (4,13)
2 (4,13) (2,15)
2 (2,15) (2,13)
2 null null
3 (4,4) (3,3)
0 (6,0) (7,1)
1 (14,3) (15,3)
2 (5,15) (5,14)
3 (12,12) (11,11)
0 (7,1) (7,2)
1 (14,2) (13,2)
2 (0,13) (2,11)
2 (2,11) (0,13)
2 null null
3 (11,11) (10,10)
0 (2,1) (3,2)
1 (14,1) (13,0)
2 (2,13) (2,15)
2 (2,15) (2,13)
2 (2,13) (2,15)
2 null null
3 (10,10) (9,9)
0 (4,2) (5,1)
1 (11,1) (10,1)
2 (4,14) (5,13)
3 (9,9) (8,8)
0 (1,0) (2,1)
1 (15,3) (14,3)
2 (3,14) (4,15)
3 (8,8) (7,7)
0 (0,0) (1,1)
1 (12,3) (11,4)
2 (0,13) (2,11)
2 null null
3 (7,7) (6,6)
0 (1,3) (1,4)
1 (13,2) (15,4)
1 null null
2 (5,13) (6,12)
3 (6,6) (5,5)
0 (7,2) (8,2)
1 (14,5) (13,6)
2 (1,15) (3,13)
2 null null
3 (5,5) (4,4)
0 (3,1) (4,1)
1 (15,4) (15,3)
2 (5,14) (6,13)
3 (4,4) (2,4)
3 null null
0 (4,1) (5,0)
1 (13,3) (14,4)
2 (4,15) (5,15)
3 (2,4) (1,3)
0 (5,1) (4,0)
1 (13,1) (12,1)
2 (5,15) (6,15)
3 (13,15) (11,13)
3 null null
0 (0,4) (2,4)
0 (2,4) (4,4)
0 (4,4) (2,4)
0 (2,4) (4,4)
0 (4,4) (2,4)
0 (2,4) (0,4)
0 null null
1 (10,0) (9,0)
2 (2,14) (2,13)
3 (11,13) (10,12)
0 (3,2) (1,0)
0 null null
1 (13,6) (14,6)
2 (6,13) (7,13)
3 (10,12) (9,11)
0 (2,1) (2,3)
0 (2,3) (2,1)
0 (2,1) (2,3)
0 (2,3) (0,5)
0 (0,5) (2,3)
0 (2,3) (4,5)
0 null null
1 (15,2) (13,4)
1 null null
2 (2,13) (2,14)
3 (9,11) (8,10)
0 (0,2) (2,4)
0 (2,4) (0,2)
0 null null
1 (11,4) (12,3)
2 (1,12) (1,14)
2 null null
3 (8,10) (7,9)
0 (3,4) (2,4)
1 (13,4) (12,4)
2 (2,15) (3,15)
3 (7,9) (6,8)
0 (2,4) (3,5)
1 (12,3) (12,2)
2 (3,15) (4,14)
3 (6,8) (5,7)
0 (8,2) (9,2)
1 (14,3) (15,2)
2 (2,14) (3,15)
3 (5,7) (4,6)
0 (0,4) (0,3)
1 (12,4) (11,5)
2 (6,15) (7,15)
3 (4,6) (2,4)
3 null null
0 (2,2) (3,1)
1 (14,6) (13,5)
2 (1,14) (2,13)
3 (2,4) (2,3)
0 (5,0) (6,1)
1 (14,4) (15,4)
2 (4,14) (5,15)
3 (12,14) (11,13)
0 (4,5) (3,6)
1 (10,1) (11,1)
2 (0,14) (1,14)
3 (11,13) (10,12)
0 (0,2) (0,4)
