# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 77
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 01 23:43:13 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.104
# Player 2: Player-1, 'random', running on 192.168.1.104
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, '260469756', running on localhost
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 260469756
2 (5,12) (6,11)
3 (9,9) (7,11)
3 (7,11) (5,11)
3 (5,11) (3,13)
3 (3,13) (3,11)
3 null null
0 (7,4) (8,5)
1 (11,6) (10,6)
2 (3,12) (5,12)
2 (5,12) (7,10)
2 null null
3 (8,3) (7,2)
0 (0,1) (2,3)
0 null null
1 (15,2) (14,1)
2 (2,12) (3,13)
3 (7,2) (6,1)
0 (8,5) (8,6)
1 (13,4) (13,5)
2 (7,10) (6,10)
3 (12,15) (11,14)
0 (1,1) (0,1)
1 (9,0) (9,1)
2 (1,14) (2,13)
3 (7,8) (7,10)
3 (7,10) (5,12)
3 (5,12) (3,12)
3 (3,12) (1,14)
3 (1,14) (1,12)
3 (1,12) (1,10)
3 null null
0 (8,6) (8,7)
1 (12,3) (11,2)
2 (0,14) (1,14)
3 (3,3) (5,3)
3 (5,3) (3,1)
3 (3,1) (1,1)
3 null null
0 (8,7) (7,7)
1 (13,0) (11,0)
1 (11,0) (13,0)
1 (13,0) (15,2)
1 null null
2 (3,13) (1,15)
2 null null
3 (7,1) (5,1)
3 (5,1) (3,3)
3 (3,3) (5,3)
3 (5,3) (3,1)
3 null null
0 (4,3) (5,4)
1 (10,2) (11,3)
2 (4,12) (4,11)
3 (6,0) (4,0)
3 (4,0) (2,2)
3 (2,2) (0,2)
3 null null
0 (3,4) (4,5)
1 (14,5) (14,6)
2 (4,11) (3,10)
3 (14,13) (12,15)
3 (12,15) (10,13)
3 null null
0 (2,1) (3,2)
1 (12,0) (11,0)
2 (1,15) (2,15)
3 (11,14) (9,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (0,4)
0 null null
1 (11,3) (10,3)
2 (1,13) (2,12)
3 (10,13) (8,11)
3 (8,11) (8,9)
3 (8,9) (6,9)
3 null null
0 (4,2) (2,2)
0 (2,2) (4,0)
0 (4,0) (2,2)
0 (2,2) (0,0)
0 (0,0) (2,2)
0 (2,2) (4,2)
0 null null
1 (14,1) (14,2)
2 (0,11) (0,10)
3 (9,12) (8,11)
0 (5,0) (4,1)
1 (10,6) (9,6)
2 (8,10) (9,11)
3 (6,9) (5,8)
0 (4,4) (3,4)
1 (14,6) (13,7)
2 (5,15) (4,15)
3 (7,9) (5,11)
3 (5,11) (7,11)
3 (7,11) (5,9)
3 (5,9) (5,7)
3 null null
0 (2,3) (2,4)
1 (13,5) (12,5)
2 (6,10) (7,10)
3 (8,11) (6,9)
3 (6,9) (4,7)
3 (4,7) (6,7)
3 (6,7) (4,9)
3 (4,9) (2,11)
3 (2,11) (0,9)
3 null null
0 (4,2) (2,2)
0 (2,2) (0,0)
0 (0,0) (2,2)
0 (2,2) (4,0)
0 (4,0) (2,2)
0 null null
1 (10,3) (11,3)
2 (1,11) (3,13)
2 (3,13) (1,11)
2 (1,11) (3,13)
2 (3,13) (1,13)
2 null null
3 (5,7) (4,6)
0 (4,5) (3,5)
1 (15,2) (13,2)
1 null null
2 (9,11) (9,12)
3 (6,1) (5,0)
0 (5,4) (5,3)
1 (15,0) (15,2)
1 null null
2 (1,13) (0,13)
3 (3,11) (1,13)
3 (1,13) (3,13)
3 (3,13) (1,11)
3 (1,11) (1,9)
3 null null
0 (1,3) (1,4)
1 (13,7) (12,6)
2 (6,11) (7,11)
3 (1,9) (0,8)
0 (3,2) (4,3)
1 (15,1) (14,0)
2 (2,12) (3,11)
3 (1,1) (0,0)
0 (2,2) (2,3)
1 (15,2) (15,1)
2 (7,10) (8,10)
3 (5,8) (4,7)
0 (3,4) (5,2)
0 (5,2) (3,4)
0 null null
1 (9,1) (10,1)
2 (7,11) (8,11)
3 (4,7) (4,5)
3 (4,5) (2,5)
3 null null
0 (3,5) (4,5)
1 (11,3) (11,4)
2 (2,14) (2,12)
2 null null
3 (4,6) (4,4)
3 (4,4) (4,2)
3 (4,2) (4,0)
3 null null
0 (0,4) (1,3)
1 (10,1) (9,0)
2 (2,13) (3,13)
3 (14,12) (13,11)
0 (1,3) (3,5)
0 null null
1 (15,3) (14,3)
2 (3,11) (2,10)
3 (13,14) (12,13)
0 (0,1) (1,1)
1 (9,6) (10,6)
2 (8,10) (8,9)
3 (12,13) (11,12)
0 (0,3) (1,3)
1 (10,6) (10,7)
2 (3,10) (4,11)
3 (2,5) (0,3)
3 (0,3) (0,1)
3 null null
0 (5,3) (5,4)
1 (13,2) (12,1)
2 (0,13) (1,13)
3 (11,12) (10,11)
0 (7,7) (8,8)
1 (11,2) (11,1)
2 (3,13) (1,11)
2 (1,11) (3,13)
2 null null
3 (10,11) (9,10)
0 (2,4) (4,4)
0 (4,4) (2,4)
0 null null
1 (14,3) (13,3)
2 (2,12) (2,11)
3 (9,10) (7,8)
3 (7,8) (9,8)
3 (9,8) (11,6)
3 (11,6) (13,4)
3 (13,4) (13,2)
3 (13,2) (15,2)
3 (15,2) (15,0)
3 (15,0) (13,0)
3 null null
0 (2,4) (0,4)
0 (0,4) (2,2)
0 (2,2) (2,4)
0 (2,4) (0,4)
0 (0,4) (2,2)
0 null null
1 (11,0) (11,2)
1 (11,2) (11,0)
1 (11,0) (11,2)
1 null null
2 (8,9) (7,8)
3 (13,11) (12,10)
0 (4,5) (2,5)
0 (2,5) (0,3)
0 (0,3) (2,5)
0 null null
1 (10,0) (12,2)
1 (12,2) (12,0)
1 (12,0) (10,2)
1 null null
2 (7,8) (8,9)
3 (12,10) (11,9)
0 (2,2) (3,3)
1 (9,0) (10,0)
2 (2,15) (1,15)
3 (13,0) (15,0)
3 (15,0) (15,2)
3 (15,2) (13,2)
3 (13,2) (11,0)
3 (11,0) (9,0)
3 null null
0 (2,5) (2,4)
1 (10,2) (10,3)
2 (8,11) (8,12)
3 (11,9) (10,8)
0 (5,4) (5,3)
1 (10,0) (10,1)
2 (4,11) (4,12)
3 (10,8) (9,7)
0 (3,4) (4,5)
1 (11,2) (13,0)
1 (13,0) (15,0)
1 (15,0) (13,0)
1 (13,0) (11,2)
1 (11,2) (9,4)
1 null null
2 (4,12) (5,11)
3 (9,7) (11,7)
3 (11,7) (13,5)
3 (13,5) (11,5)
3 (11,5) (11,3)
3 (11,3) (9,3)
3 null null
0 (2,4) (3,4)
1 (10,7) (9,6)
