# Server version 0.08 running on wpa070026.wireless.mcgill.ca:8123
# Game ID: 31
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 01 11:33:44 EDT 2014
# Player 1: Player-0, '260469756', running on localhost
# Player 2: Player-1, 'XXXXXXXXX', running on localhost
# Player 3: Player-2, 'XXXXXXXXX', running on localhost
# Player 4: Player-3, '260469756', running on localhost
START Player-0 260469756
START Player-1 XXXXXXXXX
START Player-2 XXXXXXXXX
START Player-3 260469756
1 (13,3) (11,5)
1 (11,5) (13,3)
1 (13,3) (15,5)
1 (15,5) (13,5)
1 (13,5) (11,3)
1 (11,3) (9,3)
1 (9,3) (11,3)
1 (11,3) (9,3)
1 (9,3) (11,3)
1 (11,3) (13,1)
1 null null
2 (3,10) (2,10)
3 (11,13) (9,11)
3 null null
0 (11,15) (13,15)
0 null null
1 (10,3) (11,4)
2 (6,14) (6,15)
3 (10,12) (8,10)
3 null null
0 (4,2) (6,4)
0 null null
1 (9,1) (8,0)
2 (2,14) (2,15)
3 (9,11) (7,9)
3 null null
0 (5,3) (7,5)
0 null null
1 (10,1) (10,0)
2 (7,14) (8,14)
3 (8,10) (6,8)
3 null null
0 (6,4) (8,6)
0 null null
1 (8,0) (7,0)
2 (2,10) (1,11)
3 (7,9) (5,7)
3 null null
0 (7,5) (9,7)
0 null null
1 (12,5) (12,6)
2 (4,12) (5,11)
3 (6,8) (4,6)
3 null null
0 (8,6) (10,8)
0 null null
1 (11,4) (12,5)
2 (3,14) (3,13)
3 (5,7) (3,5)
3 null null
0 (9,7) (11,9)
0 null null
1 (13,1) (12,1)
2 (1,13) (2,13)
3 (3,5) (3,3)
3 null null
0 (10,8) (12,10)
0 null null
1 (13,2) (14,1)
2 (5,11) (6,10)
3 (3,3) (1,3)
3 null null
0 (12,10) (12,12)
0 null null
1 (12,4) (11,5)
2 (4,14) (3,14)
3 (4,6) (3,5)
0 (12,12) (14,14)
0 null null
1 (7,0) (8,0)
2 (1,11) (2,12)
3 (3,5) (3,3)
3 null null
0 (11,9) (12,10)
1 (12,6) (11,7)
2 (1,14) (0,13)
3 (3,3) (3,1)
3 null null
0 (12,10) (12,12)
0 null null
1 (12,5) (11,6)
2 (3,13) (4,13)
3 (12,13) (10,11)
3 null null
0 (12,12) (14,12)
0 null null
1 (11,7) (12,7)
2 (4,13) (2,11)
2 null null
3 (11,12) (9,10)
3 null null
0 (2,3) (4,5)
0 null null
1 (14,5) (15,6)
2 (3,14) (3,13)
3 (10,11) (8,9)
3 null null
0 (3,4) (5,6)
0 null null
1 (14,4) (13,3)
2 (3,12) (4,13)
3 (9,10) (7,8)
3 null null
0 (4,5) (6,7)
0 null null
1 (14,1) (14,2)
2 (4,13) (3,12)
3 (7,8) (7,7)
0 (6,7) (8,7)
0 null null
1 (13,4) (14,3)
2 (2,15) (3,14)
3 (7,7) (6,6)
0 (8,7) (9,8)
1 (15,6) (15,7)
2 (8,14) (9,13)
3 (6,6) (5,5)
0 (9,8) (10,9)
1 (12,7) (11,7)
2 (3,12) (4,13)
3 (5,5) (4,4)
0 (10,9) (11,10)
1 (14,3) (15,3)
2 (2,11) (1,10)
3 (4,4) (3,3)
0 (11,10) (11,11)
1 (14,2) (13,2)
2 (0,11) (2,9)
2 null null
3 (3,3) (2,3)
0 (11,11) (12,12)
1 (11,7) (10,7)
2 (2,12) (2,11)
3 (2,3) (2,1)
3 null null
0 (12,12) (12,13)
1 (10,7) (10,6)
2 (2,9) (3,8)
3 (8,9) (7,8)
0 (12,13) (14,13)
0 null null
1 (12,2) (11,2)
2 (2,11) (3,12)
3 (7,8) (6,7)
0 (5,6) (7,8)
0 null null
1 (12,1) (12,0)
2 (1,10) (2,11)
3 (6,7) (5,6)
0 (7,8) (8,9)
1 (15,7) (15,8)
2 (2,13) (1,14)
3 (5,6) (4,5)
0 (8,9) (9,10)
1 (10,6) (12,6)
1 null null
2 (1,12) (3,10)
2 null null
3 (4,5) (3,4)
0 (9,10) (10,11)
1 (11,6) (11,7)
2 (3,8) (2,9)
3 (3,4) (2,3)
0 (10,11) (11,12)
1 (11,7) (12,7)
2 (2,11) (4,9)
2 (4,9) (2,11)
2 null null
3 (2,3) (1,2)
0 (11,12) (12,13)
1 (15,8) (15,9)
2 (2,9) (1,8)
3 (13,12) (11,10)
3 null null
0 (12,13) (13,14)
1 (8,0) (9,0)
2 (0,13) (2,15)
2 (2,15) (0,13)
2 (0,13) (2,15)
2 (2,15) (0,13)
2 (0,13) (0,11)
2 (0,11) (0,13)
2 (0,13) (2,15)
2 (2,15) (0,13)
2 (0,13) (0,11)
2 (0,11) (0,13)
2 (0,13) (2,15)
2 (2,15) (0,13)
2 null null
3 (12,11) (10,9)
3 null null
0 (3,2) (5,4)
0 null null
1 (13,3) (12,3)
2 (1,8) (0,8)
3 (11,10) (9,8)
3 null null
0 (4,3) (6,5)
0 null null
1 (11,5) (13,7)
1 (13,7) (11,7)
1 (11,7) (13,5)
1 null null
2 (4,13) (5,13)
3 (10,9) (8,7)
3 null null
0 (5,4) (7,6)
0 null null
1 (15,9) (15,8)
2 (5,13) (4,13)
3 (8,7) (7,7)
0 (7,6) (7,8)
0 null null
1 (13,2) (14,1)
2 (3,10) (4,10)
3 (7,7) (6,6)
0 (7,8) (8,9)
1 (10,0) (11,1)
2 (9,13) (8,13)
