# Server version 0.08 running on 192.168.1.103:8123
# Game ID: 110
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Apr 05 23:04:34 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.103
# Player 2: Player-1, '111111111', running on localhost
# Player 3: Player-2, '111111111', running on localhost
# Player 4: Player-3, 'random', running on 192.168.1.103
START Player-0 random
START Player-1 111111111
START Player-2 111111111
START Player-3 random
3 (12,13) (11,12)
0 (2,1) (4,1)
0 (4,1) (2,1)
0 null null
1 (8,11) (7,12)
2 (13,5) (14,4)
3 (14,13) (15,13)
0 (3,5) (5,3)
0 (5,3) (3,5)
0 (3,5) (5,3)
0 null null
1 (7,12) (6,13)
2 (4,11) (5,10)
3 (14,11) (13,11)
0 (0,2) (0,4)
0 (0,4) (0,2)
0 null null
1 (6,13) (5,14)
2 (5,10) (6,9)
3 (11,12) (10,11)
0 (3,1) (2,2)
1 (5,14) (4,15)
2 (9,7) (10,6)
3 (10,12) (11,13)
0 (2,4) (2,3)
1 (13,1) (12,2)
2 (8,8) (9,7)
3 (12,8) (12,9)
0 (1,4) (2,4)
1 (12,2) (11,3)
2 (10,6) (11,5)
3 (15,11) (14,11)
0 (2,1) (3,1)
1 (12,0) (12,2)
1 (12,2) (10,4)
1 (10,4) (12,6)
1 (12,6) (12,4)
1 (12,4) (10,6)
1 (10,6) (8,8)
1 (8,8) (6,10)
1 (6,10) (6,12)
1 null null
2 (11,5) (12,4)
3 (12,14) (11,14)
0 (5,3) (4,2)
1 (15,1) (13,3)
1 (13,3) (11,5)
1 null null
2 (9,7) (10,6)
3 (12,12) (10,14)
3 null null
0 (4,2) (4,3)
1 (11,5) (9,7)
1 (9,7) (7,7)
1 null null
2 (10,6) (11,5)
3 (14,12) (13,13)
0 (4,4) (4,5)
1 (6,12) (5,13)
2 (4,14) (6,12)
2 (6,12) (6,10)
2 (6,10) (8,8)
2 (8,8) (6,6)
2 null null
3 (14,15) (14,14)
0 (0,0) (2,0)
0 (2,0) (4,2)
0 null null
1 (7,7) (6,8)
2 (2,14) (4,14)
2 (4,14) (6,12)
2 (6,12) (6,10)
2 (6,10) (8,8)
2 (8,8) (8,6)
2 null null
3 (14,11) (13,12)
0 (4,5) (5,4)
1 (6,8) (8,8)
1 (8,8) (6,10)
1 (6,10) (6,12)
1 (6,12) (4,14)
1 (4,14) (2,14)
1 null null
2 (6,9) (8,9)
2 (8,9) (6,7)
2 (6,7) (6,5)
2 null null
3 (13,13) (14,13)
0 (2,4) (3,3)
1 (11,3) (10,4)
2 (6,6) (7,5)
3 (13,9) (11,9)
3 (11,9) (13,9)
3 null null
0 (3,3) (3,4)
1 (10,4) (9,5)
2 (7,5) (8,4)
3 (14,14) (14,15)
0 (2,2) (2,4)
0 (2,4) (2,2)
0 null null
1 (9,5) (7,7)
1 (7,7) (9,7)
1 (9,7) (7,5)
1 (7,5) (5,5)
1 (5,5) (5,3)
1 (5,3) (3,3)
1 (3,3) (3,5)
1 null null
2 (8,6) (9,5)
3 (11,13) (10,12)
0 (2,2) (2,1)
1 (5,13) (4,14)
2 (6,5) (7,4)
3 (14,15) (14,14)
0 (2,3) (2,2)
1 (3,5) (2,6)
2 (7,4) (8,3)
3 (11,14) (9,14)
3 (9,14) (11,14)
3 (11,14) (9,14)
3 (9,14) (11,14)
3 (11,14) (9,14)
3 (9,14) (11,14)
3 (11,14) (9,14)
3 (9,14) (11,14)
3 null null
0 (4,2) (5,2)
1 (2,6) (1,7)
2 (9,5) (10,4)
3 (12,9) (11,8)
0 (0,2) (2,0)
0 null null
1 (1,7) (0,8)
2 (10,4) (11,3)
3 (15,13) (15,12)
0 (4,3) (4,2)
1 (4,14) (3,15)
2 (11,3) (12,2)
3 (11,14) (11,15)
0 (4,2) (5,1)
1 (6,11) (5,12)
2 (12,2) (13,1)
3 (13,11) (14,11)
