# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 8
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Mar 30 11:54:39 EDT 2014
# Player 1: Player-0, '260469756', running on localhost
# Player 2: Player-1, 'random', running on 192.168.1.104
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, 'random', running on 192.168.1.104
START Player-0 260469756
START Player-1 random
START Player-2 random
START Player-3 random
2 (2,14) (2,13)
3 (15,14) (14,13)
0 (15,13) (15,14)
1 (13,0) (12,1)
2 (7,14) (7,13)
3 (11,15) (10,14)
0 (15,14) (15,15)
1 (14,4) (15,4)
2 (4,13) (5,14)
3 (10,14) (11,14)
0 (15,15) (15,14)
1 (12,1) (14,3)
1 null null
2 (2,12) (2,11)
3 (14,13) (13,12)
0 (15,14) (15,15)
1 (13,1) (12,1)
2 (2,15) (4,15)
2 (4,15) (6,13)
2 (6,13) (8,13)
2 null null
3 (11,14) (11,15)
0 (15,15) (15,14)
1 (14,1) (15,2)
2 (3,13) (3,14)
3 (11,15) (10,15)
0 (15,14) (15,15)
1 (14,0) (13,1)
2 (2,13) (3,13)
3 (11,13) (10,12)
0 (15,15) (15,14)
1 (10,1) (9,0)
2 (3,15) (4,15)
3 (10,12) (11,12)
0 (15,14) (15,15)
1 (12,2) (11,1)
2 (5,13) (4,14)
3 (13,10) (12,10)
0 (15,15) (15,14)
1 (11,2) (11,4)
1 (11,4) (11,2)
1 (11,2) (11,0)
1 (11,0) (11,2)
1 (11,2) (11,0)
1 null null
2 (3,14) (2,14)
3 (13,14) (14,13)
0 (15,14) (15,15)
1 (15,5) (14,5)
2 (7,13) (8,14)
3 (14,12) (13,11)
0 (15,15) (15,14)
1 (14,5) (14,6)
2 (1,13) (1,14)
3 (11,12) (10,12)
0 (15,14) (15,15)
1 (12,1) (11,2)
2 (2,11) (2,12)
3 (12,10) (11,9)
0 (15,15) (15,14)
1 (9,0) (10,0)
2 (3,13) (3,14)
3 (11,9) (10,9)
0 (15,14) (15,15)
1 (13,1) (13,0)
2 (1,14) (2,13)
3 (14,15) (13,15)
0 (15,15) (15,14)
1 (10,0) (10,1)
2 (3,14) (1,14)
2 (1,14) (3,14)
2 null null
3 (14,9) (13,9)
0 (15,14) (15,15)
1 (14,3) (13,3)
2 (4,15) (6,13)
2 (6,13) (4,15)
2 null null
3 (13,12) (12,12)
0 (15,15) (15,14)
1 (13,0) (14,1)
2 (8,14) (9,13)
3 (13,11) (12,11)
0 (15,14) (15,15)
1 (9,3) (9,4)
2 (2,12) (3,13)
3 (10,12) (11,12)
0 (15,15) (15,14)
1 (14,6) (14,5)
2 (8,13) (10,13)
2 (10,13) (8,13)
2 (8,13) (10,13)
2 null null
3 (15,7) (15,6)
0 (15,14) (15,15)
1 (11,1) (12,0)
2 (1,10) (2,11)
3 (14,14) (13,13)
0 (15,15) (15,14)
1 (9,4) (9,5)
2 (2,11) (3,12)
3 (13,13) (14,12)
0 (15,14) (15,15)
1 (9,5) (10,6)
2 (9,13) (8,13)
3 (11,12) (13,12)
3 (13,12) (11,10)
3 (11,10) (13,12)
3 (13,12) (11,12)
3 (11,12) (9,14)
3 (9,14) (7,12)
3 null null
0 (15,15) (15,14)
1 (10,1) (10,0)
2 (2,9) (1,10)
3 (14,13) (13,14)
0 (15,14) (15,15)
1 (10,0) (11,1)
2 (4,14) (6,14)
2 null null
3 (10,15) (10,14)
0 (15,15) (15,14)
1 (11,1) (12,1)
2 (8,13) (8,12)
3 (14,8) (15,7)
0 (15,14) (15,15)
1 (12,1) (14,3)
1 (14,3) (12,3)
1 (12,3) (10,3)
1 (10,3) (12,3)
1 null null
2 (1,15) (2,15)
3 (14,12) (14,13)
0 (15,15) (15,14)
1 (15,1) (14,2)
2 (10,13) (11,13)
3 (10,9) (11,8)
0 (15,14) (15,15)
1 (14,1) (15,0)
2 (3,12) (4,12)
3 (11,8) (10,8)
0 (15,15) (15,14)
1 (11,2) (10,2)
2 (5,14) (6,15)
3 (14,13) (13,13)
0 (15,14) (15,15)
1 (10,2) (10,3)
2 (6,14) (5,14)
3 (15,10) (14,10)
0 (15,15) (15,14)
1 (14,5) (13,4)
2 (11,13) (13,11)
2 null null
3 (7,12) (6,12)
0 (15,14) (15,15)
1 (10,6) (9,7)
2 (3,14) (3,12)
2 null null
3 (10,8) (11,7)
0 (15,15) (15,14)
1 (14,2) (12,4)
1 (12,4) (14,2)
1 (14,2) (12,2)
1 (12,2) (14,4)
1 (14,4) (12,4)
1 (12,4) (12,2)
1 null null
2 (2,13) (2,12)
3 (6,12) (6,11)
0 (15,14) (15,15)
1 (13,2) (14,1)
2 (3,12) (4,11)
3 (13,9) (14,8)
0 (15,15) (15,14)
1 (10,3) (11,2)
2 (8,12) (9,11)
3 (11,7) (11,8)
0 (15,14) (15,15)
1 (12,2) (10,4)
1 (10,4) (12,2)
1 (12,2) (10,2)
1 null null
2 (2,12) (1,11)
3 (6,11) (5,10)
0 (15,15) (15,14)
1 (14,1) (14,0)
2 (1,11) (0,11)
3 (5,10) (5,9)
0 (15,14) (15,15)
1 (10,2) (11,1)
2 (4,11) (3,10)
3 (13,14) (12,13)
0 (15,15) (15,14)
1 (13,3) (14,4)
2 (9,11) (8,10)
3 (5,9) (5,8)
0 (15,14) (15,15)
1 (14,4) (13,3)
2 (2,14) (1,15)
3 (11,8) (12,9)
0 (15,15) (15,14)
1 (14,0) (13,1)
2 (4,12) (5,12)
3 (15,7) (14,7)
0 (15,14) (15,15)
1 (11,0) (10,0)
2 (1,15) (1,14)
3 (12,9) (12,10)
0 (15,15) (15,14)
1 (15,2) (15,1)
2 (0,15) (0,14)
3 (13,13) (11,13)
3 (11,13) (13,13)
3 (13,13) (11,11)
3 null null
0 (15,14) (15,15)
1 (12,0) (13,0)
2 (3,13) (2,14)
3 (14,10) (13,10)
0 (15,15) (15,14)
1 (15,0) (15,2)
1 null null
2 (2,15) (3,15)
3 (13,15) (14,14)
0 (15,14) (15,15)
1 (11,1) (12,1)
2 (1,10) (0,9)
3 (15,6) (15,5)
0 (15,15) (15,14)
1 (11,2) (10,3)
2 (1,14) (3,14)
2 null null
3 (14,7) (15,8)
0 (15,14) (15,15)
1 (15,1) (15,3)
1 null null
2 (3,10) (3,9)
3 (5,8) (4,7)
0 (15,15) (15,14)
1 (13,0) (13,2)
1 (13,2) (13,0)
1 (13,0) (11,2)
1 (11,2) (11,4)
1 (11,4) (13,2)
1 (13,2) (11,0)
1 (11,0) (13,2)
1 null null
2 (0,11) (1,11)
3 (11,11) (11,12)
0 (15,14) (15,15)
1 (15,2) (14,3)
2 (5,12) (6,11)
3 (11,12) (13,12)
3 null null
0 (15,15) (15,14)
1 (10,3) (9,4)
2 (0,14) (1,15)
3 (12,11) (11,11)
0 (15,14) (15,15)
1 (9,4) (8,5)
2 (8,10) (7,10)
3 (12,10) (12,9)
0 (15,15) (15,14)
1 (14,3) (12,5)
1 (12,5) (14,3)
1 (14,3) (12,5)
1 null null
2 (3,9) (4,10)
3 (13,10) (14,9)
0 (15,14) (15,15)
1 (11,3) (11,4)
2 (13,11) (13,13)
2 (13,13) (11,13)
2 (11,13) (13,11)
2 null null
3 (11,11) (12,10)
0 (15,15) (15,14)
1 (12,3) (14,3)
1 null null
2 (7,10) (7,9)
3 (12,9) (12,8)
0 (15,14) (15,15)
1 (12,1) (12,2)
2 (7,9) (6,8)
3 (15,5) (14,5)
0 (15,15) (15,14)
1 (15,3) (14,4)
2 (6,11) (5,10)
3 (4,7) (5,7)
0 (15,14) (15,15)
GAMEOVER 
WINNER Player-1
# Game ended: Sun Mar 30 11:54:39 EDT 2014
