# Server version 0.08 running on wpa070049.wireless.mcgill.ca:8123
# Game ID: 157
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Apr 06 18:13:56 EDT 2014
# Player 1: Player-0, '111111111', running on localhost
# Player 2: Player-1, 'random', running on wpa070049.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on wpa070049.wireless.mcgill.ca
# Player 4: Player-3, '111111111', running on localhost
START Player-0 111111111
START Player-1 random
START Player-2 random
START Player-3 111111111
1 (13,2) (12,2)
2 (7,13) (8,14)
3 (9,9) (8,8)
0 (5,6) (5,8)
0 (5,8) (7,10)
0 (7,10) (9,10)
0 (9,10) (11,10)
0 (11,10) (11,12)
0 (11,12) (13,12)
0 null null
1 (10,1) (10,0)
2 (1,13) (1,12)
3 (11,11) (9,9)
3 null null
0 (5,5) (6,6)
1 (10,0) (9,1)
2 (0,12) (0,10)
2 null null
3 (9,8) (9,10)
3 (9,10) (7,10)
3 (7,10) (5,8)
3 (5,8) (5,6)
3 null null
0 (7,6) (7,8)
0 (7,8) (9,8)
0 (9,8) (9,10)
0 (9,10) (11,10)
0 null null
1 (12,1) (12,3)
1 null null
2 (1,12) (0,13)
3 (13,13) (11,11)
3 (11,11) (11,9)
3 (11,9) (9,11)
3 (9,11) (7,9)
3 (7,9) (5,9)
3 null null
0 (11,10) (12,11)
1 (9,1) (8,0)
2 (3,13) (2,12)
3 (6,9) (5,8)
0 (12,11) (14,13)
0 null null
1 (9,2) (11,2)
1 (11,2) (11,0)
1 null null
2 (4,15) (4,14)
3 (12,12) (11,11)
0 (10,10) (12,12)
0 (12,12) (14,12)
0 (14,12) (14,14)
0 null null
1 (12,3) (12,4)
2 (4,13) (4,12)
3 (11,11) (10,10)
0 (13,12) (15,14)
0 null null
1 (15,1) (14,2)
2 (8,14) (8,15)
3 (2,4) (1,3)
0 (2,2) (3,3)
1 (11,1) (10,0)
2 (4,14) (3,14)
3 (4,4) (4,2)
3 (4,2) (2,4)
3 (2,4) (2,2)
3 (2,2) (2,0)
3 null null
0 (14,14) (15,15)
1 (12,2) (11,3)
2 (1,11) (1,12)
3 (15,12) (14,11)
0 (0,3) (1,4)
1 (9,3) (10,4)
2 (0,11) (1,10)
3 (14,11) (13,10)
0 (1,4) (3,2)
0 (3,2) (5,4)
0 null null
1 (15,2) (15,1)
2 (4,12) (3,13)
3 (13,10) (12,9)
0 (3,3) (5,3)
0 (5,3) (5,5)
0 null null
1 (10,2) (10,3)
2 (1,12) (2,11)
3 (12,9) (11,8)
0 (5,4) (6,5)
1 (13,1) (14,0)
2 (3,13) (4,12)
3 (11,8) (9,8)
3 (9,8) (7,8)
3 (7,8) (7,6)
3 (7,6) (5,4)
3 (5,4) (3,2)
3 (3,2) (1,0)
3 null null
0 (6,5) (4,5)
0 (4,5) (6,7)
0 (6,7) (8,7)
0 (8,7) (10,7)
0 (10,7) (10,9)
0 (10,9) (10,11)
0 null null
1 (10,3) (10,2)
2 (2,11) (3,11)
3 (5,6) (5,4)
3 (5,4) (3,2)
3 (3,2) (1,4)
3 (1,4) (1,2)
3 null null
0 (10,11) (11,12)
1 (15,1) (15,2)
2 (3,11) (4,10)
3 (5,8) (5,6)
3 (5,6) (5,4)
3 (5,4) (3,2)
3 null null
0 (5,7) (6,8)
1 (15,3) (14,4)
2 (8,15) (9,15)
3 (2,3) (0,1)
3 null null
0 (6,8) (7,9)
1 (14,0) (15,0)
2 (4,10) (5,10)
3 (1,3) (1,1)
3 null null
0 (7,9) (9,11)
0 (9,11) (11,9)
0 null null
1 (15,0) (14,1)
2 (2,12) (2,13)
3 (2,0) (0,0)
3 null null
0 (10,8) (12,10)
0 null null
1 (10,4) (11,4)
2 (0,10) (0,9)
3 (2,5) (1,4)
0 (11,9) (13,11)
0 null null
1 (9,0) (8,1)
2 (0,13) (1,13)
3 (1,4) (0,3)
0 (12,10) (14,12)
0 (14,12) (14,14)
0 null null
1 (14,4) (13,5)
2 (5,10) (4,10)
3 (9,7) (8,6)
0 (11,12) (12,13)
1 (8,0) (8,2)
1 (8,2) (8,0)
1 null null
2 (4,12) (5,13)
3 (8,6) (7,5)
0 (8,10) (9,11)
1 (8,1) (9,0)
2 (0,9) (1,9)
3 (7,5) (6,4)
0 (9,11) (10,12)
1 (10,2) (10,3)
2 (2,15) (0,13)
2 (0,13) (2,15)
2 (2,15) (4,13)
2 (4,13) (6,13)
2 (6,13) (4,13)
2 (4,13) (6,13)
2 null null
3 (6,4) (5,3)
0 (10,12) (11,13)
1 (11,0) (11,1)
2 (1,9) (2,8)
3 (5,3) (3,3)
3 (3,3) (3,1)
3 null null
0 (11,13) (13,13)
0 (13,13) (13,15)
0 null null
1 (14,2) (15,3)
2 (2,8) (2,9)
3 (3,1) (2,0)
0 (13,11) (14,12)
1 (11,3) (11,5)
1 null null
2 (1,10) (2,10)
3 (5,9) (4,8)
0 (14,12) (15,13)
1 (14,1) (14,2)
2 (2,10) (3,10)
3 (4,8) (3,7)
0 (5,5) (6,5)
1 (10,3) (11,2)
2 (2,13) (4,15)
2 (4,15) (2,13)
2 (2,13) (4,15)
2 (4,15) (2,13)
2 (2,13) (0,13)
2 null null
3 (3,7) (2,6)
0 (6,5) (6,7)
0 (6,7) (8,7)
0 (8,7) (8,9)
0 (8,9) (10,9)
0 (10,9) (10,11)
0 null null
1 (11,1) (12,1)
2 (5,13) (5,14)
3 (2,6) (1,5)
0 (10,11) (11,12)
1 (15,2) (15,4)
1 (15,4) (15,2)
1 (15,2) (13,2)
1 null null
2 (3,14) (4,13)
3 (1,5) (0,4)
0 (6,6) (7,6)
1 (12,4) (10,6)
1 null null
2 (4,10) (5,11)
3 (8,8) (6,6)
3 null null
0 (7,7) (8,8)
1 (15,3) (15,4)
2 (1,13) (0,12)
3 (9,9) (7,7)
3 (7,7) (5,5)
3 null null
0 (8,8) (9,9)
1 (11,2) (12,3)
2 (5,14) (5,15)
3 (6,6) (4,4)
3 (4,4) (4,2)
3 (4,2) (2,2)
3 (2,2) (0,2)
3 null null
0 (9,9) (11,11)
0 (11,11) (11,13)
0 (11,13) (13,13)
0 null null
1 (9,0) (10,1)
2 (4,13) (3,13)
3 (5,5) (4,4)
0 (7,6) (8,7)
1 (11,4) (11,3)
2 (1,15) (2,15)
3 (4,4) (4,2)
3 (4,2) (2,2)
3 null null
0 (8,7) (9,8)
1 (12,3) (13,3)
2 (9,15) (10,15)
3 (10,10) (9,9)
0 (9,8) (10,9)
1 (11,5) (12,5)
2 (6,13) (5,14)
3 (9,9) (8,8)
0 (10,9) (11,10)
1 (8,0) (7,1)
2 (10,15) (10,14)
3 (8,8) (7,7)
0 (11,10) (12,11)
